📻电台之声,#genre#
CNR 娱乐广播,http://ls.qingting.fm/live/398.m3u8
CNR 娱乐广播,http://ngcdn014.cnr.cn/live/ylgb/index.m3u8
CNR 中国交通广播,http://live.xmcdn.com/live/45/64.m3u8
CNR 中国交通广播,http://ls.qingting.fm/live/4985.m3u8
CNR 中国交通广播,http://ngcdn016.cnr.cn/live/gsgljtgb/index.m3u8
500首华语经典,http://ls.qingting.fm/live/3412131.m3u8?bitrate=64
CRI 环球资讯广播 FM90.5,http://sk.cri.cn/905.m3u8
CRI 中文环球广播,http://sk.cri.cn/hyhq.m3u8
CRI 南海之声,http://sk.cri.cn/nhzs.m3u8
CRI Hit FM FM88.7,http://sk.cri.cn/887.m3u8
CRI 轻松调频 FM91.5,http://sk.cri.cn/915.m3u8
CRI NEWS Plus AM846,http://sk.cri.cn/am846.m3u8
CNR 哈语广播,http://live.xmcdn.com/live/1396/64.m3u8
cnr经典音乐,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
上海动感101,http://ls.qingting.fm/live/274.m3u8
浙江动听,http://ls.qingting.fm/live/4866.m3u8
中央中国乡村之声,http://ngcdn017.cnr.cn/live/xczs/index.m3u8
中央ChinaPlus,http://sk.cri.cn/am846.m3u8
中央长江之声,https://ls.qingting.fm/live/5021868/64k.m3u8
中央哈语,http://ngcdn025.cnr.cn/live/hygb/index.m3u8
中央藏语,http://ngcdn012.cnr.cn/live/zygb/index.m3u8
中央英语曼听,http://sk.cri.cn/915.m3u8
中央海峡飞虹,http://sk.cri.cn/hxfh.m3u8
中央海峡之声新闻,https://ls.qingting.fm/live/1744/64k.m3u8
中广流行网,http://stream.rcs.revma.com/aw9uqyxy2tzuv
中广新闻网,http://stream.rcs.revma.com/78fm9wyy2tzuv
中广音乐网,http://stream.rcs.revma.com/ks4vsmg3qtzuv
北京音乐,https://ls.qingting.fm/live/332/64k.m3u8
北京新闻,https://ls.qingting.fm/live/339/64k.m3u8
北京新闻广播,http://satellitepull.cnr.cn/live/wxbjxwgb/playlist.m3u8
北京交通,https://ls.qingting.fm/live/336/64k.m3u8
北京文艺,https://ls.qingting.fm/live/333/64k.m3u8
北京文艺广播,http://ls.qingting.fm/live/333.m3u8
北京文艺广播,http://123.56.16.201:1935/live/fm876/96K/tzwj_video.m3u8
北京城市,https://ls.qingting.fm/live/345/64k.m3u8
北京故事,https://ls.qingting.fm/live/337/64k.m3u8
北京体育,https://ls.qingting.fm/live/335/64k.m3u8
北京外语,https://ls.qingting.fm/live/334/64k.m3u8
北京青年,https://ls.qingting.fm/live/347/64k.m3u8
北京通州,https://ls.qingting.fm/live/20500023/64k.m3u8
北京阳光,https://ls.qingting.fm/live/5021739/64k.m3u8
北京经典,https://ls.qingting.fm/live/20462/64k.m3u8
北京怀旧金曲,https://ls.qingting.fm/live/5021381/64k.m3u8
北京MetroRadio,http://audiolive.rbc.cn:1935/live/fm945/96K/tzwj_video.m3u8
北京怀旧音乐,https://ls.qingting.fm/live/20211619/64k.m3u8
北京欧美老歌,https://ls.qingting.fm/live/20211620/64k.m3u8
北京城市广播·副中心之声,http://audiolive.rbc.cn:1935/live/fm1073/96K/tzwj_video.m3u8
北京房山经典音乐,http://live.xmcdn.com/live/963/64.m3u8
北京房山电台,http://live.funhillrm.com/3/sd/live.m3u8
北京故事广播,http://123.56.16.201:1935/live/am603/96K/tzwj_video.m3u8
北京好音乐,http://ls.qingting.fm/live/2131011.m3u8
北京交通广播,http://live.xmcdn.com/live/93/64.m3u8
北京经典,http://live.funhillrm.com/4/sd/live.m3u8
北京青年广播,http://audiolive.rbc.cn:1935/live/am927/96K/tzwj_video.m3u8
北京体育广播,http://audiolive.rbc.cn:1935/live/fm1025/96K/tzwj_video.m3u8
北京外语广播,http://audiolive.rbc.cn:1935/live/am774/96K/tzwj_video.m3u8
北京音乐广播,http://live.xmcdn.com/live/95/64.m3u8
